Nit;Fecha Corte;Duracion;Ingresos de actividades ordinarias;Costo de ventas;Ganancia bruta;Otros ingresos;Gastos de ventas;Gastos de administración;Otros gastos;Otras ganancias (pérdidas);Ganancia (pérdida) por actividades de operación;Ingresos financieros;Costos financieros;Ganancia (pérdida), antes de impuestos;Ingreso (gasto) por impuestos;Ganancia (pérdida) procedente de operaciones continuadas;Ganancia (pérdida) procedente de operaciones discontinuadas;Ganancia (pérdida)
830035316;31/12/2016;2016;6784510;3828334;2956176;60764;1066915;649214;;;1300811;;226580;1074231;372872;701359;;701359
860052317;31/12/2016;2016;889013;0;889013;2263;0;754764;238181;0;-101669;220275;0;118606;96004;22602;;22602
900375319;31/12/2016;2016;2724141;2250136;474005;82116;;132389;131136;;292596;;;292596;204528;88068;;88068
900364217;31/12/2016;2016;665441;565327;100114;4005376;0;152405;42548;0;3910537;0;0;3910537;151906;3758631;0;3758631
900303918;31/12/2016;2016;10083096;3206053;6877043;6309;3684605;2561424;12697;0;624626;180360;233253;571733;221487;350246;0;350246
890325022;31/12/2016;2016;1483212;;1483212;2020;;45818;75002;;1364412;;120009;1244403;15731;1228672;;1228672
900225515;31/12/2016;2016;33426655;32480404;946251;25244;;176363;77570;;717562;25581;2303256;-1560113;;-1560113;;-1560113
900079317;31/12/2016;2016;10376096;689527;9686569;62504;4443373;4513511;;;792189;;529336;262853;179075;83778;;83778
830123119;31/12/2016;2016;10125528;5380586;4744942;1142572;2695186;1238235;629611;;1324482;87;7009;1317560;356678;960882;;960882
830507325;31/12/2016;2016;700000;491779;208221;127075;;298905;4372;;32019;;1910;30109;23074;7035;;7035
802012120;31/12/2016;2016;39682;;39682;117436;;44932;418;;111768;;;111768;33427;78341;;78341
860005217;31/12/2016;2016;2241648;;2241648;401111;;1707525;20161;;915073;;223305;691768;191587;500181;;500181
890324323;31/12/2016;2016;582000;;582000;0;;642022;47512;;-107534;11125;248709;-345118;57928;-403046;;-403046
809002523;31/12/2016;2016;8035230;6587527;1447703;66566;;764827;116006;;633436;;78786;554650;392264;162386;;162386
900713018;31/12/2016;2016;0;0;0;0;0;0;392619;0;-392619;0;0;-392619;0;-392619;0;-392619
830041942;31/12/2016;2016;811850;;811850;0;;149336;277549;;384965;117;;385082;121036;264046;;264046
800252523;31/12/2016;2016;10639838;8286624;2353214;266605;438899;552530;1053847;;574543;;;574543;;574543;;574543
844002122;31/12/2016;2016;4342369;3392538;949831;112667;0;563063;37372;0;462063;449;214555;247957;0;247957;0;247957
900528425;31/12/2016;2016;214788;;214788;345736;;124743;2328;;433453;;1608;431845;59466;372379;;372379
800061228;31/12/2016;2016;87301078;74028399;13272679;1000592;10162158;1666311;305072;;2139730;;2756492;-616762;66700;-683462;;-683462
900106817;31/12/2016;2016;179477;224733;-45256;322015;54929;271965;364055;;-414190;;;-414190;;-414190;;-414190
800147021;31/12/2016;2016;9891319;6673630;3217689;14359;597504;1050569;474567;;1109408;;;1109408;518924;590484;;590484
900373623;31/12/2016;2016;17674764;15674547;2000217;386224;;684156;1156930;;545355;;;545355;343653;201702;;201702
