Nit;Fecha Corte;Duracion;Ganancia (pérdida);Otro resultado integral, neto de impuestos, ganancias (pérdidas) por revaluación;Total otro resultado integral que no se reclasificará al resultado del periodo, neto de impuestos;Total otro resultado integral;Resultado integral total;Otro resultado integral, neto de impuestos, diferencias de cambio por conversión;Otro resultado integral, neto de impuestos, ganancias (pérdidas) actuariales por planes de beneficios definidos;Ganancias (pérdidas) por coberturas de flujos de efectivo, neto de impuestos;Total otro resultado integral que se reclasificará al resultado del periodo, neto de impuestos
800042641;31/12/2016;2016;1009194;0;0;0;1009194;0;0;0;0
800042671;31/12/2016;2016;122866;0;0;76818;199684;0;0;76818;76818
800042779;31/12/2016;2016;-4320734;;;;;;;;
800042867;31/12/2016;2016;1362056;;;;;;;;
800042932;31/12/2016;2016;728178;;;;;;;;
800043202;31/12/2016;2016;1654050;0;0;0;1654050;0;0;0;0
800043278;31/12/2016;2016;198182;0;0;0;198182;0;0;0;0
800043282;31/12/2016;2016;165165;;;;;;;;
800043390;31/12/2016;2016;-49814;;;;-49814;;;;
800043457;31/12/2016;2016;420369;;;;;;;;
800043761;31/12/2016;2016;-95860;0;0;0;-95860;0;0;0;0
800043769;31/12/2016;2016;-4699566;;;;;;;;
800043907;31/12/2016;2016;675753;;;;;;;;
800044335;31/12/2016;2016;2309144;;;;;;;;
800044611;31/12/2016;2016;170474;;;;170474;;;;
800044690;31/12/2016;2016;-498746;;;;;;;;
800045011;31/12/2016;2016;394319;;;;;;;;
800045199;31/12/2016;2016;67758;0;0;0;67758;0;0;0;0
800045218;31/12/2016;2016;-143311;0;0;0;-143311;0;0;0;0
800045250;31/12/2016;2016;-61248;;;;;;;;
800045259;31/12/2016;2016;1673410;;;;;;;;
800045311;31/12/2016;2016;1093014;;0;0;1093014;0;;0;0
800045347;31/12/2016;2016;-431818;;;;;;;;
800045357;31/12/2016;2016;476150;;;;;;;;
800045458;31/12/2016;2016;190426;;;;;;;;
800045517;31/12/2016;2016;188736;;;;;;;;
800045577;31/12/2016;2016;-1651580;;;;;;;;
800045742;31/12/2016;2016;277282;;;;277282;;;;
800045772;31/12/2016;2016;343599;;;;;;;;
800045878;31/12/2016;2016;507246;;;;;;;;
800046125;31/12/2016;2016;422255;;;;;;;;
800046568;31/12/2016;2016;75236;;;;;;;;
800046648;31/12/2016;2016;569279;;;;569279;;;;
800046713;31/12/2016;2016;1221086;;;;1221086;;;;
